d_um,P_rad,P_atm,P_sun,P_nonrad,P_cool,delta_T,emis_8_13um,alpha_solar,eta
1.0,24.19,12.96,20.12,0.00,-8.89,0.000,0.0939,0.0180,-0.0079
2.0,76.73,38.23,20.23,0.00,18.27,0.000,0.3311,0.0181,0.0163
5.0,133.70,81.43,20.67,0.00,31.60,0.000,0.4852,0.0184,0.0282
10.0,193.23,118.28,21.45,0.00,53.50,0.000,0.6915,0.0191,0.0477
20.0,257.65,164.31,22.65,0.00,70.68,0.000,0.8397,0.0202,0.0630
30.0,285.86,186.46,23.98,0.00,75.43,0.000,0.9045,0.0214,0.0673
40.0,302.04,199.88,25.65,0.00,76.51,0.000,0.9380,0.0229,0.0682
50.0,312.00,208.48,27.44,0.00,76.08,0.000,0.9518,0.0243,0.0679
60.0,318.74,214.50,28.35,0.00,75.89,0.000,0.9584,0.0255,0.0677
80.0,326.61,221.78,30.97,0.00,73.86,0.000,0.9653,0.0276,0.0659
100.0,331.03,225.95,33.38,0.00,71.70,0.000,0.9672,0.0296,0.0639
150.0,336.13,230.85,40.09,0.00,65.19,0.000,0.9684,0.0362,0.0581
200.0,339.35,233.94,48.24,0.00,57.17,0.000,0.9685,0.0427,0.0510
300.0,342.40,236.86,57.97,0.00,47.57,0.000,0.9685,0.0514,0.0424
