wavelength_um,emissivity_d0.5um,emissivity_d5um,emissivity_d20um,emissivity_d50um,emissivity_d100um,emissivity_d200um
0.300000,0.000002,0.000020,0.000081,0.000203,0.000405,0.000810
0.302000,0.000002,0.000020,0.000079,0.000195,0.000443,0.000884
0.304000,0.000002,0.000022,0.000085,0.000197,0.000419,0.000782
0.306000,0.000002,0.000020,0.000087,0.000200,0.000394,0.000810
0.308000,0.000002,0.000019,0.000080,0.000201,0.000385,0.000847
0.310000,0.000002,0.000021,0.000076,0.000199,0.000384,0.000836
0.312000,0.000002,0.000021,0.000078,0.000195,0.000390,0.000779
0.314000,0.000002,0.000019,0.000083,0.000190,0.000411,0.000772
0.316000,0.000002,0.000020,0.000085,0.000187,0.000421,0.000830
0.318000,0.000002,0.000021,0.000082,0.000192,0.000378,0.000786
0.320000,0.000002,0.000019,0.000078,0.000205,0.000392,0.000737
0.322000,0.000002,0.000019,0.000075,0.000205,0.000397,0.000742
0.324000,0.000002,0.000020,0.000073,0.000186,0.000382,0.000732
0.326000,0.000002,0.000020,0.000073,0.000186,0.000377,0.000732
0.328000,0.000002,0.000018,0.000073,0.000204,0.000407,0.000806
0.330000,0.000002,0.000018,0.000074,0.000184,0.000368,0.000737
0.332000,0.000002,0.000020,0.000074,0.000187,0.000357,0.000794
0.334000,0.000002,0.000019,0.000075,0.000195,0.000370,0.000711
0.336000,0.000002,0.000018,0.000075,0.000177,0.000382,0.000714
0.338000,0.000002,0.000018,0.000075,0.000196,0.000385,0.000726
0.340000,0.000002,0.000020,0.000074,0.000175,0.000379,0.000711
0.342000,0.000002,0.000019,0.000073,0.000192,0.000366,0.000690
0.344000,0.000002,0.000017,0.000072,0.000179,0.000347,0.000741
0.346000,0.000002,0.000018,0.000071,0.000178,0.000344,0.000745
0.348000,0.000002,0.000019,0.000069,0.000191,0.000373,0.000701
0.350000,0.000002,0.000019,0.000068,0.000170,0.000373,0.000707
0.352000,0.000002,0.000017,0.000067,0.000178,0.000335,0.000760
0.354000,0.000002,0.000017,0.000067,0.000188,0.000374,0.000727
0.356000,0.000002,0.000018,0.000068,0.000172,0.000338,0.000702
0.358000,0.000002,0.000019,0.000071,0.000165,0.000367,0.000705
